"RK","PLAYER NAME",TEAM,"POS","OPP","MATCHUP "
"1","Josh Allen",BUF,"QB1","at MIA","5 out of 5 stars"
"2","Lamar Jackson",BAL,"QB2","at MIN","5 out of 5 stars"
"3","Christian McCaffrey",SF,"RB1","vs. LAR","1 out of 5 stars"
"4","Drake Maye",NE,"QB3","at TB","2 out of 5 stars"
"5","Bijan Robinson",ATL,"RB2","at IND","2 out of 5 stars"
"6","Jonathan Taylor",IND,"RB3","vs. ATL","3 out of 5 stars"
"7","Jaxon Smith-Njigba",SEA,"WR1","vs. ARI","2 out of 5 stars"
"8","Jalen Hurts",PHI,"QB4","at GB","2 out of 5 stars"
"9","Justin Herbert",LAC,"QB5","vs. PIT","3 out of 5 stars"
"10","Puka Nacua",LAR,"WR2","at SF","3 out of 5 stars"
"11","Bo Nix",DEN,"QB6","vs. LV","2 out of 5 stars"
"12","Amon-Ra St. Brown",DET,"WR3","at WAS","4 out of 5 stars"
"13","Jaxson Dart",NYG,"QB7","at CHI","5 out of 5 stars"
"14","De'Von Achane",MIA,"RB4","vs. BUF","4 out of 5 stars"
"15","Baker Mayfield",TB,"QB8","vs. NE","4 out of 5 stars"
"16","Caleb Williams",CHI,"QB9","vs. NYG","3 out of 5 stars"
"17","James Cook III",BUF,"RB5","at MIA","4 out of 5 stars"
"18","Daniel Jones",IND,"QB10","vs. ATL","3 out of 5 stars"
"19","Jahmyr Gibbs",DET,"RB6","at WAS","3 out of 5 stars"
"20","Jared Goff",DET,"QB11","at WAS","5 out of 5 stars"
"21","Matthew Stafford",LAR,"QB12","at SF","4 out of 5 stars"
""
"22","Sam Darnold",SEA,"QB13","vs. ARI","2 out of 5 stars"
"23","Drake London",ATL,"WR4","at IND","3 out of 5 stars"
"24","Jordan Love",GB,"QB14","vs. PHI","2 out of 5 stars"
"25","Rico Dowdle",CAR,"RB7","vs. NO","4 out of 5 stars"
"26","Justin Jefferson",MIN,"WR5","vs. BAL","4 out of 5 stars"
"27","Justin Fields",NYJ,"QB15","vs. CLE","2 out of 5 stars"
"28","J.J. McCarthy",MIN,"QB16","vs. BAL","4 out of 5 stars"
"29","Aaron Rodgers",PIT,"QB17","at LAC","2 out of 5 stars"
"30","Davante Adams",LAR,"WR6","at SF","3 out of 5 stars"
"31","Marcus Mariota",WAS,"QB18","vs. DET","3 out of 5 stars"
"32","Emeka Egbuka",TB,"WR7","vs. NE","4 out of 5 stars"
"33","Saquon Barkley",PHI,"RB8","at GB","3 out of 5 stars"
"34","Bryce Young",CAR,"QB19","vs. NO","3 out of 5 stars"
"35","Nico Collins",HOU,"WR8","vs. JAC","2 out of 5 stars"
"36","Tua Tagovailoa",MIA,"QB20","vs. BUF","2 out of 5 stars"
"37","Josh Jacobs",GB,"RB9","vs. PHI","4 out of 5 stars"
"38","Jaylen Waddle",MIA,"WR9","vs. BUF","3 out of 5 stars"
"39","Derrick Henry",BAL,"RB10","at MIN","3 out of 5 stars"
"40","Rome Odunze",CHI,"WR10","vs. NYG","3 out of 5 stars"
"41","Courtland Sutton",DEN,"WR11","vs. LV","2 out of 5 stars"
"42","Trevor Lawrence",JAC,"QB21","at HOU","2 out of 5 stars"
"43","Ladd McConkey",LAC,"WR12","vs. PIT","2 out of 5 stars"
"44","Bucky Irving",TB,"RB11","vs. NE","2 out of 5 stars"
"45","Trey McBride",ARI,"TE1","at SEA","4 out of 5 stars"
"46","Garrett Wilson",NYJ,"WR13","vs. CLE","4 out of 5 stars"
"47","Kyren Williams",LAR,"RB12","at SF","4 out of 5 stars"
"48","Jacoby Brissett",ARI,"QB22","at SEA","3 out of 5 stars"
"49","Michael Pittman Jr.",IND,"WR14","vs. ATL","4 out of 5 stars"
"50","Brock Purdy",SF,"QB23","vs. LAR","3 out of 5 stars"
"51","Zay Flowers",BAL,"WR15","at MIN","3 out of 5 stars"
"52","Jaylen Warren",PIT,"RB13","at LAC","3 out of 5 stars"
"53","Michael Penix Jr.",ATL,"QB24","at IND","4 out of 5 stars"
"54","DeVonta Smith",PHI,"WR16","at GB","3 out of 5 stars"
"55","Ashton Jeanty",LV,"RB14","at DEN","3 out of 5 stars"
"56","A.J. Brown",PHI,"WR17","at GB","3 out of 5 stars"
"57","J.K. Dobbins",DEN,"RB15","vs. LV","3 out of 5 stars"
"58","Brock Bowers",LV,"TE2","at DEN","3 out of 5 stars"
"59","Breece Hall",NYJ,"RB16","vs. CLE","2 out of 5 stars"
"60","C.J. Stroud",HOU,"QB25","vs. JAC","3 out of 5 stars"
"61","Stefon Diggs",NE,"WR18","at TB","2 out of 5 stars"
