"RK","PLAYER NAME",TEAM,"POS","OPP","MATCHUP "
"1","Josh Allen",BUF,"QB1","vs. NE","4 out of 5 stars"
"2","Christian McCaffrey",SF,"RB1","at LAR","2 out of 5 stars"
"3","Puka Nacua",LAR,"WR1","vs. SF","3 out of 5 stars"
"4","Jahmyr Gibbs",DET,"RB2","at CIN","3 out of 5 stars"
"5","Jalen Hurts",PHI,"QB2","vs. DEN","2 out of 5 stars"
"6","Jonathan Taylor",IND,"RB3","vs. LV","2 out of 5 stars"
"7","De'Von Achane",MIA,"RB4","at CAR","4 out of 5 stars"
"8","Patrick Mahomes II",KC,"QB3","at JAC","3 out of 5 stars"
"9","Justin Herbert",LAC,"QB4","vs. WAS","4 out of 5 stars"
"10","Justin Fields",NYJ,"QB5","vs. DAL","5 out of 5 stars"
"11","Drake Maye",NE,"QB6","at BUF","3 out of 5 stars"
"12","Jayden Daniels",WAS,"QB7","at LAC","2 out of 5 stars"
"13","Daniel Jones",IND,"QB8","vs. LV","1 out of 5 stars"
"14","Amon-Ra St. Brown",DET,"WR2","at CIN","4 out of 5 stars"
"15","James Cook III",BUF,"RB5","vs. NE","3 out of 5 stars"
"16","Jared Goff",DET,"QB9","at CIN","5 out of 5 stars"
"17","Kyler Murray",ARI,"QB10","vs. TEN","3 out of 5 stars"
"18","Baker Mayfield",TB,"QB11","at SEA","3 out of 5 stars"
"19","Dak Prescott",DAL,"QB12","at NYJ","2 out of 5 stars"
"20","Jaxon Smith-Njigba",SEA,"WR3","vs. TB","3 out of 5 stars"
"21","Saquon Barkley",PHI,"RB6","vs. DEN","4 out of 5 stars"
"22","Omarion Hampton",LAC,"RB7","vs. WAS","2 out of 5 stars"
"23","Garrett Wilson",NYJ,"WR4","vs. DAL","4 out of 5 stars"
"24","Bo Nix",DEN,"QB13","at PHI","2 out of 5 stars"
"25","Breece Hall",NYJ,"RB8","vs. DAL","4 out of 5 stars"
"26","Jaxson Dart",NYG,"QB14","at NO","4 out of 5 stars"
"27","Nico Collins",HOU,"WR5","at BAL","2 out of 5 stars"
"28","Brock Purdy",SF,"QB15","at LAR","3 out of 5 stars"
"29","Justin Jefferson",MIN,"WR6","at CLE","3 out of 5 stars"
"30","Matthew Stafford",LAR,"QB16","vs. SF","2 out of 5 stars"
"31","Sam Darnold",SEA,"QB17","vs. TB","4 out of 5 stars"
"32","Bucky Irving",TB,"RB9","at SEA","2 out of 5 stars"
"33","Geno Smith",LV,"QB18","at IND","4 out of 5 stars"
"34","Trey McBride",ARI,"TE1","vs. TEN","3 out of 5 stars"
"35","C.J. Stroud",HOU,"QB19","at BAL","4 out of 5 stars"
"36","Davante Adams",LAR,"WR7","vs. SF","3 out of 5 stars"
"37","Tua Tagovailoa",MIA,"QB20","at CAR","3 out of 5 stars"
"38","Ashton Jeanty",LV,"RB10","at IND","2 out of 5 stars"
"39","George Pickens",DAL,"WR8","at NYJ","3 out of 5 stars"
"40","Trevor Lawrence",JAC,"QB21","vs. KC","2 out of 5 stars"
"41","Bryce Young",CAR,"QB22","vs. MIA","5 out of 5 stars"
"42","Emeka Egbuka",TB,"WR9","at SEA","3 out of 5 stars"
"43","Derrick Henry",BAL,"RB11","vs. HOU","4 out of 5 stars"
"44","Kyren Williams",LAR,"RB12","vs. SF","2 out of 5 stars"
"45","Spencer Rattler",NO,"QB23","vs. NYG","3 out of 5 stars"
"46","Javonte Williams",DAL,"RB13","at NYJ","2 out of 5 stars"
"47","Jake Browning",CIN,"QB24","vs. DET","3 out of 5 stars"
"48","Ja'Marr Chase",CIN,"WR10","vs. DET","4 out of 5 stars"
"49","Travis Etienne Jr.",JAC,"RB14","vs. KC","3 out of 5 stars"
"50","Carson Wentz",MIN,"QB25","at CLE","2 out of 5 stars"
"51","Cam Skattebo",NYG,"RB15","at NO","4 out of 5 stars"
"52","Zay Flowers",BAL,"WR11","vs. HOU","2 out of 5 stars"
"53","Courtland Sutton",DEN,"WR12","at PHI","2 out of 5 stars"
"54","Kenneth Walker III",SEA,"RB16","vs. TB","2 out of 5 stars"
"55","Michael Pittman Jr.",IND,"WR13","vs. LV","4 out of 5 stars"
"56","Quinshon Judkins",CLE,"RB17","vs. MIN","4 out of 5 stars"
"57","Alvin Kamara",NO,"RB18","vs. NYG","5 out of 5 stars"
"58","Tetairoa McMillan",CAR,"WR14","vs. MIA","3 out of 5 stars"
"59","Deebo Samuel Sr.",WAS,"WR15","at LAC","2 out of 5 stars"
"60","Quentin Johnston",LAC,"WR16","vs. WAS","4 out of 5 stars"
"61","Brock Bowers",LV,"TE2","at IND","4 out of 5 stars"
"62","Keenan Allen",LAC,"WR17","vs. WAS","4 out of 5 stars"
"63","A.J. Brown",PHI,"WR18","vs. DEN","2 out of 5 stars"
"64","J.K. Dobbins",DEN,"RB19","at PHI","3 out of 5 stars"
"65","Trey Benson",ARI,"RB20","vs. TEN","4 out of 5 stars"
"66","Jaylen Waddle",MIA,"WR19","at CAR","3 out of 5 stars"
"67","Cam Ward",TEN,"QB26","at ARI","3 out of 5 stars"
"68","Jordan Mason",MIN,"RB21","at CLE","2 out of 5 stars"
"69","Chuba Hubbard",CAR,"RB22","vs. MIA","3 out of 5 stars"
"70","Chris Olave",NO,"WR20","vs. NYG","3 out of 5 stars"
"71","Jakobi Meyers",LV,"WR21","at IND","4 out of 5 stars"
"72","Xavier Worthy",KC,"WR22","at JAC","4 out of 5 stars"
"73","Tyler Warren",IND,"TE3","vs. LV","3 out of 5 stars"
"74","Brian Thomas Jr.",JAC,"WR23","vs. KC","3 out of 5 stars"
"75","Wan'Dale Robinson",NYG,"WR24","at NO","4 out of 5 stars"
"76","Marvin Harrison Jr.",ARI,"WR25","vs. TEN","3 out of 5 stars"
"77","Ladd McConkey",LAC,"WR26","vs. WAS","4 out of 5 stars"
"78","David Montgomery",DET,"RB23","at CIN","3 out of 5 stars"
"79","DeVonta Smith",PHI,"WR27","vs. DEN","2 out of 5 stars"
"80","Woody Marks",HOU,"RB24","at BAL","4 out of 5 stars"
"81","Tony Pollard",TEN,"RB25","at ARI","3 out of 5 stars"
"82","Jameson Williams",DET,"WR28","at CIN","4 out of 5 stars"
"83","Jake Ferguson",DAL,"TE4","at NYJ","3 out of 5 stars"
"84","Jordan Addison",MIN,"WR29","at CLE","3 out of 5 stars"
"85","Jauan Jennings",SF,"WR30","at LAR","4 out of 5 stars"
"86","Hunter Henry",NE,"TE5","at BUF","4 out of 5 stars"
"87","Chris Godwin Jr.",TB,"WR31","at SEA","3 out of 5 stars"
"88","Chase Brown",CIN,"RB26","vs. DET","3 out of 5 stars"
"89","Stefon Diggs",NE,"WR32","at BUF","3 out of 5 stars"
"90","Tee Higgins",CIN,"WR33","vs. DET","4 out of 5 stars"
"91","Khalil Shakir",BUF,"WR34","vs. NE","4 out of 5 stars"
"92","Elic Ayomanor",TEN,"WR35","at ARI","2 out of 5 stars"
"93","Tre Tucker",LV,"WR36","at IND","4 out of 5 stars"
"94","Keon Coleman",BUF,"WR37","vs. NE","4 out of 5 stars"
"95","Juwan Johnson",NO,"TE6","vs. NYG","2 out of 5 stars"
"96","Jerry Jeudy",CLE,"WR38","vs. MIN","3 out of 5 stars"
"97","Dalton Kincaid",BUF,"TE7","vs. NE","3 out of 5 stars"
"98","Troy Franklin",DEN,"WR39","at PHI","2 out of 5 stars"
"99","Sam LaPorta",DET,"TE8","at CIN","3 out of 5 stars"
"100","TreVeyon Henderson",NE,"RB27","at BUF","4 out of 5 stars"
"101","Calvin Ridley",TEN,"WR40","at ARI","2 out of 5 stars"
"102","Travis Kelce",KC,"TE9","at JAC","2 out of 5 stars"
"103","Cooper Kupp",SEA,"WR41","vs. TB","3 out of 5 stars"
"104","Travis Hunter",JAC,"WR42","vs. KC","3 out of 5 stars"
"105","Marquise Brown",KC,"WR43","at JAC","4 out of 5 stars"
"106","Rashid Shaheed",NO,"WR44","vs. NYG","3 out of 5 stars"
"107","Josh Downs",IND,"WR45","vs. LV","4 out of 5 stars"
"108","Rhamondre Stevenson",NE,"RB28","at BUF","4 out of 5 stars"
"109","Christian Kirk",HOU,"WR46","at BAL","2 out of 5 stars"
"110","Zach Charbonnet",SEA,"RB29","vs. TB","2 out of 5 stars"
"111","Dallas Goedert",PHI,"TE10","vs. DEN","4 out of 5 stars"
"112","T.J. Hockenson",MIN,"TE11","at CLE","3 out of 5 stars"
"113","Darius Slayton",NYG,"WR47","at NO","4 out of 5 stars"
"114","Malik Washington",MIA,"WR48","at CAR","3 out of 5 stars"
"115","Brenton Strange",JAC,"TE12","vs. KC","2 out of 5 stars"
"116","Tory Horton",SEA,"WR49","vs. TB","3 out of 5 stars"
"117","Zach Ertz",WAS,"TE13","at LAC","4 out of 5 stars"
"118","Mark Andrews",BAL,"TE14","vs. HOU","3 out of 5 stars"
"119","Harold Fannin Jr.",CLE,"TE15","vs. MIN","2 out of 5 stars"
"120","Kayshon Boutte",NE,"WR50","at BUF","3 out of 5 stars"
